,0
2022-01-16,1.0537181494699994
2022-01-17,1.0450848681699993
2022-01-18,1.0463356884699995
2022-01-19,1.0400226416699994
2022-01-20,1.0293835400699993
2022-01-21,0.9871525244699992
2022-01-22,0.9728818603699992
2022-01-23,0.985347407269999
2022-01-24,0.9891226416699992
2022-01-25,0.992119399469999
2022-01-26,0.9911005712699991
2022-01-27,0.9939617041699992
2022-01-28,1.000422680669999
2022-01-29,1.003961157269999
2022-01-30,1.001755375969999
2022-01-31,1.007410610369999
2022-02-01,1.0100120947699986
2022-02-02,0.9921092041699989
2022-02-03,0.9941253759699988
2022-02-04,1.0375881103699989
2022-02-05,1.036991000969999
2022-02-06,1.0467036962699987
2022-02-07,1.0609822119699988
2022-02-08,1.063763813469999
2022-02-09,1.065967329169999
2022-02-10,1.0582304931699986
2022-02-11,1.0466587353699988
2022-02-12,1.0450240478699988
2022-02-13,1.0445545166699988
2022-02-14,1.0484485400699988
2022-02-15,1.0683313916699988
2022-02-16,1.0621979541699988
2022-02-17,1.027959477569999
2022-02-18,1.022889125969999
2022-02-19,1.023800922869999
2022-02-20,1.0068931494699989
2022-02-21,0.9933321728699989
2022-02-22,1.005439633769999
2022-02-23,0.9955450634699989
2022-02-24,1.0059054541699988
2022-02-25,1.0147215478699987
2022-02-26,1.0136308447699987
2022-02-27,0.9996772119699987
2022-02-28,1.0545117041699987
2022-03-01,1.0661257275699987
2022-03-02,1.0618205322699985
2022-03-03,1.0470972509699987
2022-03-04,1.0139554150699988
2022-03-05,1.0165852197699985
2022-03-06,1.0067792041699988
2022-03-07,1.0068724072699984
2022-03-08,1.0068724072699984
2022-03-09,1.0068724072699984
2022-03-10,1.0068724072699984
2022-03-11,1.0068724072699984
2022-03-12,1.0068724072699984
2022-03-13,1.0068724072699984
2022-03-14,1.0068724072699984
2022-03-15,1.0068724072699984
2022-03-16,1.0068724072699984
2022-03-17,1.0049777588699984
2022-03-18,1.0134755322699984
2022-03-19,1.0173704931699985
2022-03-20,1.0079422119699986
2022-03-21,1.0062439306699984
2022-03-22,1.0190520556699985
2022-03-23,1.0243935400699982
2022-03-24,1.0350733056699983
2022-03-25,1.0389512744699985
2022-03-26,1.0404722510699984
2022-03-27,1.0636688916699983
2022-03-28,1.0667440088699984
2022-03-29,1.0701212744699986
2022-03-30,1.0660906103699985
2022-03-31,1.0508507275699983
2022-04-01,1.0582804150699983
2022-04-02,1.0541534619699986
2022-04-03,1.0599996338699986
2022-04-04,1.0616907275699985
2022-04-05,1.0510238916699985
2022-04-06,1.0509075244699988
2022-04-07,1.0509075244699988
2022-04-08,1.0509075244699988
2022-04-09,1.0509075244699988
2022-04-10,1.0509075244699988
2022-04-11,1.0509075244699988
2022-04-12,1.0509075244699988
2022-04-13,1.0509075244699988
2022-04-14,1.0509075244699988
2022-04-15,1.0509075244699988
2022-04-16,1.0509075244699988
2022-04-17,1.0509075244699988
2022-04-18,1.0509075244699988
2022-04-19,1.0509075244699988
2022-04-20,1.0509075244699988
2022-04-21,1.0509075244699988
2022-04-22,1.0509075244699988
2022-04-23,1.0509075244699988
2022-04-24,1.0509075244699988
2022-04-25,1.0509075244699988
2022-04-26,1.0509075244699988
2022-04-27,1.0509075244699988
2022-04-28,1.0509075244699988
2022-04-29,1.0509075244699988
2022-04-30,1.0509075244699988
2022-05-01,1.0509075244699988
2022-05-02,1.0509075244699988
2022-05-03,1.0509075244699988
2022-05-04,1.0509075244699988
2022-05-05,1.0197014698699989
2022-05-06,1.014359282369999
2022-05-07,1.008969594869999
2022-05-08,0.994542719869999
2022-05-09,0.956919594869999
2022-05-10,0.9641791260699989
2022-05-11,0.9433136182699988
2022-05-12,0.9444275830699989
2022-05-13,0.9467810987699987
2022-05-14,0.9549627198699987
2022-05-15,0.9670011963699986
2022-05-16,0.9525792432699984
2022-05-17,0.9582086377699984
